#####################################################################
# Alchemist log file - simulation started at: 2024-05-07T13:24+0000 #
#####################################################################
#
# seed = 2.0, nodeCount = 200, surrogateFrequency = 20, scenario = offloaded
#
# The columns have the following meaning: 
# time potential[sum] RegionCount 
0.0 0.0 1.0
1.644225651910469E-4 0.0 1.0
1.0001644225651913 73100.56529364546 26.0
2.000164422565192 144999.15298702076 44.0
3.0001644225651884 145344.83757220997 39.0
4.000164422565185 139344.46702002344 38.0
5.000164422565182 131050.31905157109 39.0
6.000164422565178 141362.62422452253 37.0
7.000164422565175 143115.83436376436 35.0
8.000164422565172 138642.23331583678 35.0
9.000164422565186 144748.7925532133 36.0
10.0001644225652 147261.31343225657 36.0
11.000164422565215 148120.88456361444 36.0
12.000164422565229 154113.0588792382 36.0
13.000164422565243 154593.83030226568 35.0
14.000164422565257 154805.41419762277 34.0
15.000164422565271 158270.6051942501 33.0
16.000164422565284 160375.85005852947 34.0
17.000164422565298 161810.15216950682 32.0
18.000164422565312 163107.34711694648 31.0
19.000164422565327 164451.66912018298 30.0
20.00016442256534 165968.4760217115 29.0
21.000164422565355 163576.60040891348 31.0
22.00016442256537 160793.87906783083 28.0
23.000164422565383 163066.61118178887 25.0
24.000164422565398 165521.9734848499 25.0
25.000164422565412 164525.5768114357 25.0
26.000164422565426 166598.33566657366 24.0
27.00016442256544 168518.2584371461 24.0
28.000164422565454 168093.82128556847 24.0
29.00016442256547 168897.4197131461 23.0
30.000164422565483 170994.44881403024 24.0
31.000164422565497 172230.05920038777 24.0
32.00016442256551 173669.52894549753 23.0
33.000164422565454 175350.0325919501 24.0
34.0001644225654 175311.10874354848 24.0
35.00016442256534 174952.75878662756 24.0
36.000164422565284 176599.82392738535 25.0
37.00016442256523 177353.96583875432 24.0
38.00016442256517 177975.27682087818 24.0
39.00016442256511 179822.18109570935 24.0
40.00016442256506 180599.82707366816 24.0
41.000164422565 180702.52772315074 24.0
42.00016442256494 183457.40175330685 24.0
43.000164422564886 183889.64311962077 24.0
44.00016442256483 183019.22719546748 24.0
45.00016442256477 184793.92706688872 24.0
46.000164422564715 185082.79193707785 24.0
47.00016442256466 184239.2626388897 24.0
48.0001644225646 187348.76240725588 23.0
49.000164422564545 187774.93104736588 23.0
50.00016442256449 185983.08834177593 23.0
51.00016442256443 186608.75279137105 23.0
52.000164422564374 186645.2359143246 23.0
53.00016442256432 185689.37253319076 22.0
54.00016442256426 186702.19039428147 21.0
55.000164422564204 186980.65895078852 21.0
56.00016442256415 187079.8510152541 21.0
57.00016442256409 187748.752104057 21.0
58.00016442256403 187655.04260369603 21.0
59.00016442256398 187554.14865543428 21.0
60.00016442256392 188664.15520657087 21.0
61.00016442256386 188946.94023727856 21.0
62.000164422563806 189008.4329621548 21.0
