#####################################################################
# Alchemist log file - simulation started at: 2024-05-07T13:17+0000 #
#####################################################################
#
# seed = 1.0, nodeCount = 50, surrogateFrequency = 10, scenario = monolithic
#
# The columns have the following meaning: 
# time potential[sum] RegionCount 
0.0 0.0 1.0
0.0016676366669265085 0.0 1.0
1.0016676366669264 11879.945955139445 20.0
2.001667636666927 18844.716011519125 23.0
3.001667636666928 29046.531507099964 18.0
4.001667636666928 29282.921611944952 20.0
5.001667636666925 30665.431840887773 18.0
6.001667636666921 31763.683061808726 18.0
7.001667636666918 32402.348194455903 18.0
8.001667636666914 33432.04750071536 18.0
9.00166763666691 34963.48426734823 16.0
10.001667636666907 35268.714675854426 16.0
11.001667636666904 36148.78652966244 16.0
12.0016676366669 36276.95680987135 16.0
13.001667636666896 36739.36046188701 15.0
14.001667636666893 36829.637684812806 15.0
15.00166763666689 37263.34983020517 15.0
16.001667636666888 37353.752289620454 15.0
17.0016676366669 37723.56378956335 15.0
18.001667636666916 37813.82434738488 15.0
19.00166763666693 38031.46166789288 14.0
20.001667636666944 38080.26614224286 14.0
21.00166763666696 38103.823157391256 13.0
22.001667636666973 38113.52953716153 13.0
23.001667636666987 38120.29556974727 13.0
24.001667636667 38130.01576336721 13.0
25.001667636667015 38137.28982373028 13.0
26.00166763666703 38147.07657833007 13.0
27.001667636667044 38154.80395206363 13.0
28.001667636667058 38164.47374045374 13.0
29.001667636667072 38172.308724745926 13.0
30.001667636667086 38182.06955551003 13.0
31.0016676366671 38189.90857099943 13.0
32.001667636667115 38199.96138044398 13.0
33.00166763666713 38207.007918796 13.0
34.00166763666714 38216.99397119287 13.0
35.00166763666716 38222.95095003467 13.0
36.00166763666717 38231.948369159036 13.0
37.001667636667186 38236.664978489665 13.0
38.0016676366672 38244.92393841768 13.0
39.001667636667214 38245.074098913035 13.0
40.00166763666723 38250.53539367284 13.0
41.00166763666724 38245.073585819446 13.0
42.00166763666726 38245.31242196666 13.0
43.00166763666727 38236.54853214729 13.0
44.001667636667285 38219.426169895356 13.0
45.0016676366673 38206.58031560173 13.0
46.001667636667314 38189.042224373865 13.0
47.00166763666733 38174.78795302097 13.0
48.00166763666734 38156.84751043011 13.0
49.00166763666736 38139.68055040988 13.0
50.00166763666737 38121.001968201854 13.0
51.001667636667385 38099.49886876185 13.0
52.0016676366674 38079.88317593796 13.0
53.00166763666741 38061.23198401633 13.0
54.00166763666743 38042.444055309104 13.0
55.00166763666744 38042.457009673475 13.0
56.001667636667456 38028.36063809883 13.0
57.00166763666747 38021.40846617438 13.0
58.001667636667484 38007.32548097046 13.0
59.0016676366675 37984.99423251484 13.0
60.00166763666751 37971.12853015954 13.0
61.00166763666753 37949.333276976984 13.0
62.00166763666754 37935.06498453741 13.0
63.001667636667555 37916.921978477076 13.0
64.00166763666756 37902.74419342662 13.0
65.0016676366675 37887.19889831413 13.0
66.00166763666745 37871.563306652046 13.0
67.00166763666739 37854.33768800338 13.0
68.00166763666734 37832.9231396771 13.0
69.00166763666728 37824.47294120559 13.0
70.00166763666722 37806.607523155864 13.0
71.00166763666716 37797.497258404976 13.0
72.00166763666711 37773.79651676787 13.0
73.00166763666705 37761.04115334452 13.0
74.001667636667 37742.214082347135 13.0
75.00166763666694 37733.61217007106 13.0
76.00166763666688 37734.48740204861 13.0
77.00166763666682 37740.91338214569 13.0
78.00166763666677 37742.180718668926 13.0
79.00166763666671 37746.93288138495 13.0
80.00166763666665 37735.49853119406 13.0
81.0016676366666 37729.60233809019 13.0
82.00166763666654 37717.42580657289 13.0
83.00166763666648 37715.80507521518 13.0
84.00166763666643 37719.827413580984 13.0
85.00166763666637 37735.646050482945 13.0
86.00166763666631 37737.3003842192 13.0
87.00166763666626 37751.07739955843 13.0
88.0016676366662 37747.45119827504 13.0
89.00166763666614 37754.12359716196 13.0
90.00166763666608 37743.51007284768 13.0
91.00166763666603 37733.788787509955 13.0
92.00166763666597 37723.25777553786 13.0
93.00166763666591 37712.57382269234 13.0
94.00166763666586 37700.834262714954 13.0
95.0016676366658 37687.81455814741 13.0
96.00166763666574 37671.966248234734 13.0
97.00166763666569 37660.35077037478 13.0
98.00166763666563 37636.64964092483 13.0
99.00166763666557 37614.67166634112 13.0
100.00166763666552 37587.780736156696 13.0
101.00166763666546 37563.34140438016 13.0
102.0016676366654 37536.68311606064 13.0
103.00166763666535 37510.22893104413 13.0
104.00166763666529 37482.98517308282 13.0
105.00166763666523 37452.95416288538 13.0
106.00166763666518 37426.79929117592 13.0
