#####################################################################
# Alchemist log file - simulation started at: 2024-05-09T13:58+0000 #
#####################################################################
#
# seed = 2.0, nodeCount = 200, surrogateFrequency = 20, scenario = monolithic
#
# The columns have the following meaning: 
# time BatteryLevel[sum] BatteryLevel[mean] BatteryLevel[min] BatteryLevel[max] BatteryLevel[variance] MessagesExchanged[sum] MessagesExchanged[mean] MessagesExchanged[min] MessagesExchanged[max] MessagesExchanged[variance] 
0.0 0.0 NaN NaN NaN NaN 0.0 NaN NaN NaN NaN
1.644225651910469E-4 0.0 NaN NaN NaN NaN 0.0 NaN NaN NaN NaN
1.0001644225651913 223969.92783294854 1982.0347595836147 31.566216802208764 3986.8316543060128 1397673.946331708 5925.0 38.47402597402599 0.0 75.0 593.7150072150073
2.000164422565192 414662.95583818876 2073.3147791909437 31.566216802208764 3986.8316543060128 1395039.5289373242 8272.0 39.76923076923077 0.0 75.0 560.8353771832033
3.0001644225651884 414349.67570449616 2071.748378522483 28.798338354531957 3984.0183539301975 1395329.9813445103 8272.0 39.76923076923077 0.0 75.0 560.8353771832033
4.000164422565185 414108.8168761598 2070.5440843808005 28.798338354531957 3984.0183539301975 1395041.4887767755 8272.0 39.76923076923077 0.0 75.0 560.8353771832033
5.000164422565182 413795.5005574474 2068.977502787238 26.018062981279993 3981.2391715786453 1395328.0691864206 8272.0 39.76923076923077 0.0 75.0 560.8353771832033
6.000164422565178 413554.06804783276 2067.7703402391653 26.018062981279993 3981.2391715786453 1395040.9208252616 8272.0 39.76923076923077 0.0 75.0 560.8353771832033
7.000164422565175 413241.76817472925 2066.208840873646 23.265699331274046 3978.4162356099555 1395325.885897802 8272.0 39.76923076923077 0.0 75.0 560.8353771832033
8.000164422565172 413000.8123520243 2065.004061760121 23.265699331274046 3978.4162356099555 1395038.289652974 8272.0 39.76923076923077 0.0 75.0 560.8353771832033
9.000164422565186 412687.50130126375 2063.437506506318 20.55878854475924 3975.6017725530614 1395328.392470116 8272.0 39.76923076923077 0.0 75.0 560.8353771832033
10.0001644225652 412446.94155839225 2062.2347077919612 20.55878854475924 3975.6017725530614 1395043.1679465277 8272.0 39.76923076923077 0.0 75.0 560.8353771832033
11.000164422565215 412133.84052421496 2060.669202621075 17.739769666886673 3972.8627017453396 1395338.0398164059 8272.0 39.76923076923077 0.0 75.0 560.8353771832033
12.000164422565229 411892.2430356178 2059.46121517809 17.739769666886673 3972.8627017453396 1395044.39508211 8272.0 39.76923076923077 0.0 75.0 560.8353771832033
13.000164422565243 411579.5351736383 2057.897675868192 14.941654735802574 3970.127538318287 1395334.200124261 8272.0 39.76923076923077 0.0 75.0 560.8353771832033
14.000164422565257 411338.96279702213 2056.69481398511 14.941654735802574 3970.127538318287 1395039.6624038566 8272.0 39.76923076923077 0.0 75.0 560.8353771832033
15.000164422565271 411025.7290958496 2055.1286454792476 12.151819171886341 3967.3094692221302 1395328.6420181917 8272.0 39.76923076923077 0.0 75.0 560.8353771832033
16.000164422565284 410785.134374601 2053.9256718730044 12.151819171886341 3967.3094692221302 1395040.0075493036 8272.0 39.76923076923077 0.0 75.0 560.8353771832033
17.000164422565298 410472.72572069097 2052.363628603455 9.384025594430424 3964.5061719077894 1395330.7269409334 8272.0 39.76923076923077 0.0 75.0 560.8353771832033
18.000164422565312 410232.32213513413 2051.16161067567 9.384025594430424 3964.5061719077894 1395042.0723056043 8272.0 39.76923076923077 0.0 75.0 560.8353771832033
19.000164422565327 409919.96032805805 2049.599801640289 6.548635425407337 3961.7491681856955 1395323.4558595892 8272.0 39.76923076923077 0.0 75.0 560.8353771832033
